"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Aug-2024","EQ","1,154.00","1,154.00","1,087.00","1,179.55","1,109.00","1,107.65","1,115.74","1,222.00","597.35","58,78,903","6,55,93,08,823.40","1,49,730"
"02-Aug-2024","EQ","1,172.05","1,191.00","1,160.00","1,179.15","1,182.70","1,179.55","1,176.59","1,222.00","597.35","30,57,586","3,59,75,31,013.10","73,527"
"01-Aug-2024","EQ","1,183.15","1,222.00","1,176.05","1,176.10","1,179.00","1,179.15","1,203.88","1,222.00","597.35","69,38,545","8,35,31,74,307.75","1,65,595"
"31-Jul-2024","EQ","1,188.10","1,193.50","1,168.85","1,188.10","1,176.00","1,176.10","1,177.77","1,197.00","597.35","31,26,309","3,68,20,70,754.85","67,319"
"30-Jul-2024","EQ","1,173.60","1,192.45","1,163.80","1,173.60","1,187.00","1,188.10","1,179.36","1,197.00","597.35","30,11,688","3,55,18,75,622.75","83,918"
"29-Jul-2024","EQ","1,194.65","1,197.00","1,165.30","1,184.35","1,180.10","1,173.60","1,176.61","1,197.00","597.35","30,20,820","3,55,43,30,223.90","83,830"
"26-Jul-2024","EQ","1,165.00","1,197.00","1,151.05","1,160.90","1,190.00","1,184.35","1,179.88","1,197.00","597.35","77,29,718","9,12,01,53,632.65","1,69,653"
"25-Jul-2024","EQ","1,140.00","1,173.00","1,130.00","1,160.55","1,159.20","1,160.90","1,158.99","1,175.00","597.35","55,27,885","6,40,67,48,175.60","1,21,668"
"24-Jul-2024","EQ","1,090.00","1,170.00","1,088.15","1,086.65","1,155.00","1,160.55","1,139.60","1,175.00","597.35","78,50,480","8,94,63,98,950.95","1,82,161"
"23-Jul-2024","EQ","1,130.45","1,143.70","1,044.50","1,123.70","1,085.00","1,086.65","1,108.59","1,175.00","597.35","65,60,323","7,27,26,94,175.25","1,65,652"
"22-Jul-2024","EQ","1,100.00","1,146.40","1,090.00","1,108.25","1,121.00","1,123.70","1,132.61","1,175.00","597.35","67,69,614","7,66,73,11,536.70","1,52,381"
"19-Jul-2024","EQ","1,106.00","1,118.70","1,063.35","1,109.65","1,107.00","1,108.25","1,091.72","1,175.00","597.35","55,79,511","6,09,12,52,556.75","1,18,655"
"18-Jul-2024","EQ","1,109.00","1,130.00","1,088.30","1,108.45","1,106.65","1,109.65","1,111.17","1,175.00","597.35","74,75,945","8,30,70,15,853.30","1,56,676"
"16-Jul-2024","EQ","1,065.00","1,117.80","1,058.20","1,060.30","1,105.95","1,108.45","1,099.51","1,175.00","597.35","1,41,85,936","15,59,76,29,014.60","2,48,342"
